"politic.axis1"	"politic.axis2"	"industry.axis1"	"industry.axis2"	"agriculture.axis1"	"agriculture.axis2"	"superblock.axis1"	"superblock.axis2"
"Ecuador"	0.653671708379604	-0.219128246426647	-0.659610025332453	-0.062776812571511	0.809361519374358	0.297700596029339	0.678594792826166	-0.0591098667585149
"Egypt"	0.606655456094696	0.044407305812511	-1.04077553151088	-0.169257261927118	0.378126716617827	0.264087038133111	0.719313883406891	0.0770006385566856
"Salvador"	0.297713112328779	-0.0967503243812602	-0.677833062060771	0.161462681630172	0.682953990346198	0.230283357775395	0.55103942646083	-0.00252247513462026
"Finland"	-0.187906108181397	0.987649545326079	0.314724634004234	0.702051478338486	-0.869711912710025	0.637517406680338	-0.410520332410525	0.844267801815071
"France"	0.336975577637665	1.16872469220131	0.777983004397635	0.348225868869054	-0.739226937241033	-0.595652881465095	-0.424164796487958	0.319491435668973
"Guatemala"	0.745360757805312	-0.31688336898686	-0.912033817556841	0.0436741843356481	0.836487181674889	0.219589592113625	0.820570843670588	-0.104355819140568
"Greece"	0.0351374563740041	0.963919973188203	-0.496904609283604	-0.0442539916588155	0.515441076424991	0.0645329968068939	0.354565304777078	0.314634477205138
"Honduras"	0.745432520338842	-0.442399979299252	-1.04500011804396	-0.130684005101912	0.410139096198896	0.0712092492267903	0.769529488065039	-0.167420284852174
"India"	-0.235293155393573	-0.461638331669504	-1.46071386072261	-0.442376831487977	-0.791551611562185	-1.0496892335069	0.358578680894285	-0.504554104963402
"Irak"	1.0119233979912	-0.144092011379629	-0.987419723876912	0.211336623282184	0.996965448326103	-0.603572249893873	0.971058584439179	-0.375712832379616
"Irland"	-0.723702272571995	-0.22730886843711	0.0600575971182242	0.250473081262817	-0.895120362827406	0.611050351047429	-0.463019773521726	0.328118407962964
"Italy"	0.18073247208168	0.920874581793737	0.208013018736308	-0.0591362920801186	0.603104713997168	-0.0637573907430625	0.116121885995622	0.210163495853083
"Japan"	0.0988911520187769	0.965209345881204	-0.368663924819926	-0.173854833150788	-1.51073796639711	0.317738400853886	-0.196283738877284	0.701870401796201
"Libia"	0.166100277999358	-0.0589535215698927	-1.37770244244198	-0.274707029429328	-0.0789096829152818	0.282129280172216	0.620261091196627	0.101973265519134
"Luxemburg"	-1.07178924945614	-0.269998441330388	0.943504811468542	0.341033185231612	-0.516705020141505	-0.322327680226982	-0.847670967655851	-0.15432062813301
"TheNetherlands"	-0.906254502844248	-0.250953701048478	1.16775330542737	-0.491628667087668	-0.611532463608253	-0.971043042734592	-0.920070307709473	-0.526208571976417
"NewZealand"	-1.07178924945614	-0.269998441330388	1.23569209766198	0.102919983125686	0.35788878599909	-0.111480958955352	-0.751272290999091	-0.23904272654716
"Nicaragua"	0.434137319601277	-0.33428767366558	-0.711963773985704	0.241693877728664	0.303628710654465	0.331062788548397	0.509028346234726	0.0289655342109354
"Norway"	-0.975716791942401	-0.269363275665797	0.737968995683408	0.308621930190451	-0.521761905875658	0.203304348777375	-0.732741254673776	0.070305200423087
"Panama"	0.695246882937206	-0.150794089512442	-0.365179494477394	0.257139379305393	0.178593840047423	0.164723010644843	0.404038700553935	0.0409935676036671
"Peru"	0.56898858943647	-0.297943071007409	-0.962322719423568	-0.191369061546422	0.674199337190187	0.344202187364375	0.749808758681899	-0.0565266717831444
"Philippine"	0.688234097875272	-0.49439257182621	-0.749411906423052	0.00510829062255362	-0.625919876671681	-0.779280830084902	0.362948355154368	-0.376294620475303
"Poland"	0.360657084360903	-0.277735940394189	-0.23502958501233	0.45721307329309	-1.92797075570874	1.01266991868573	-0.283638322583969	0.680150108602004
"SouthVietnam"	0.922729156406075	-0.621098241062579	-1.04790001398108	-0.162057215177564	0.0150541037464445	-0.178747019020317	0.721958694724798	-0.273991190157226
"Spain"	0.287212269737976	-0.203653895718418	-0.49110481740937	0.0184924284924889	0.689018071349118	-0.403439923542401	0.469282393638298	-0.335165867008519
"Sweden"	-1.08107106673559	-0.283522559334158	1.33957593386287	-0.0935426428190663	-0.713409415190674	-0.400115448577188	-1.07050374283965	-0.236110088291079
"Switzerland"	-1.08107106673559	-0.283522559334158	1.55339391288406	-0.252455330679897	-1.28890467581513	-0.600404056655839	-1.30845350073089	-0.262698960203296
"Taiwan"	-0.0147470930443124	-0.158876016189304	-0.868379756714942	-0.354916136191484	-0.00801080464877706	-0.599972805938336	0.366882992682604	-0.344432999554595
"UK"	-0.702970752162996	-0.249609727323402	1.93065746414465	-0.86241266690942	0.114261033842267	-0.613234381024285	-1.00473630601555	-0.556934009306212
"USA"	-0.63458995004578	-0.267107977291526	1.92495256523045	0.11529552847856	0.159580003579655	-0.136766836429134	-0.970937499790403	-0.232607302405158
"Uruguay"	-0.871010372689035	-0.248131492586257	0.179932613430787	0.255107468047046	0.585255029088051	-0.291240468147488	-0.181573536244932	-0.281546497267126
"Venezuela"	0.770491625967664	-0.361457787865343	0.258802950093391	0.518439241556691	0.959740035672604	0.161446802254813	0.355965201134737	-0.130110850495141
"WestGermany"	-0.342603062838846	0.762247578596583	1.04249602181587	-0.273565900894253	-0.180595556653765	0.457015862878713	-0.593288078236255	0.422253685147505
"Yugoslavia"	0.11195716251729	-0.158038333936003	-0.611970504657666	0.312159367112277	-1.82981174445549	1.0395673302475	-0.1689080570046	0.70250009403218
